severity,category,issue,details,recommendation,source
WARNING,Engine Performance,Erratic RPM Behavior,Detected 57 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 77°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105656_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 675°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 77°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105656_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 5744°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 7966 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260107134236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 80°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 42°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215318_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2393°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 41 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215318_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 11 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 10 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 74°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 7°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 73°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109132018_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 4225°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 602 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109132018_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 71°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 36°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000438_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2552°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 26 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000438_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 409 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±381 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 17 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 24 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 66°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251024151339good_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 443°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 49°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251024151339good_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 4349°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 576 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 19°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251024151339good_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±92 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 490 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±323 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 15 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 18 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 77°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 15°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 69°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120121656_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3104°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 605 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 20°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120121656_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 74°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171858_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2393°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 15 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171858_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 399 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±400 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 69°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 24°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000329_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1724°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 20 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251224000329_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±111 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 564 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±270 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 14 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 69°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 4°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220141620_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3079°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 399 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220141620_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±83 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±82 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 74°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201204111_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2418°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 73 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201204111_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 73°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170939_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2328°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 29 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170939_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 91 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 37 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 81°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251018170040_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 445°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 83°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251018170040_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 5440°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 5169 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 20°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251018170040_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±151 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±201 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 68°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 58°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120112037_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2333°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 230 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 20°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120112037_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 26°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201175840_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3200°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 139 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201175840_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±144 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±206 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 73°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022193104_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 452°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 54°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022193104_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2328°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 198 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 20°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022193104_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251109121129_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 22°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109121129_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109121129_clean.csv
