Row,Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Fuel System Monitor,Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
176,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
177,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
178,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
179,71,1139,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
180,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
181,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
182,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
183,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,2.344
184,71,1150,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,2.344
185,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,2.344
186,71,1142.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,2.344
187,71,1143.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,2.344
188,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
189,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
190,71,1139.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
191,71,1140.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
192,71,1140.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
193,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
194,71,1138.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
195,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
196,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
197,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
198,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
199,71,1135.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
200,71,1138.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
201,71,1139.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
202,71,1137.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
203,71,1134.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
204,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
205,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
206,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
207,71,1141.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
208,71,1139.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
209,71,1138.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
210,71,1142.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,2.344
